trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
107,False,"{'a': 0.2, 'e': 0.8984775710829259}",25,0,-37.417263498336425,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
108,False,"{'a': 0.2, 'e': 0.8975790935118431}",20,0,-101.81150619614128,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
109,False,"{'a': 0.2, 'e': 0.8966815144183312}",20,8,-95.98036949326998,"{0: 6, 1: 1, 2: 2, 3: 2, 4: 1}",1
110,False,"{'a': 0.2, 'e': 0.8957848329039129}",25,0,-168.82466113938202,"{0: 13, 1: 5, 2: 4, 3: 0, 4: 3}",0
111,False,"{'a': 0.2, 'e': 0.894889048071009}",20,6,-39.13803284148426,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 0}",1
112,False,"{'a': 0.2, 'e': 0.8939941590229379}",20,1,-54.06935530436966,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 1}",1
113,False,"{'a': 0.2, 'e': 0.893100164863915}",30,0,-158.58448660474886,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 3}",0
114,False,"{'a': 0.2, 'e': 0.8922070646990511}",35,7,-156.58223720177807,"{0: 15, 1: 2, 2: 9, 3: 0, 4: 2}",1
115,False,"{'a': 0.2, 'e': 0.891314857634352}",20,0,-101.13820772393431,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
116,False,"{'a': 0.2, 'e': 0.8904235427767176}",20,0,-41.63026214502142,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
117,False,"{'a': 0.2, 'e': 0.889533119233941}",25,0,-199.27939905257065,"{0: 13, 1: 3, 2: 4, 3: 2, 4: 3}",0
118,False,"{'a': 0.2, 'e': 0.8886435861147071}",20,0,-46.677656301498715,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
119,False,"{'a': 0.2, 'e': 0.8877549425285923}",20,8,-24.619837911681902,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
120,False,"{'a': 0.2, 'e': 0.8868671875860638}",30,0,-53.22814668764176,"{0: 25, 1: 2, 2: 1, 3: 1, 4: 1}",0
121,False,"{'a': 0.2, 'e': 0.8859803203984776}",20,0,-76.57171160112466,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
122,False,"{'a': 0.2, 'e': 0.8850943400780792}",20,0,-142.74768412418578,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
123,False,"{'a': 0.2, 'e': 0.8842092457380011}",30,0,-129.6621707498726,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
124,False,"{'a': 0.2, 'e': 0.8833250364922631}",25,7,-31.020550719267096,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 0}",1
125,False,"{'a': 0.2, 'e': 0.8824417114557709}",20,0,-93.26991627507141,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
126,False,"{'a': 0.2, 'e': 0.8815592697443151}",30,0,-116.58874183793694,"{0: 21, 1: 2, 2: 3, 3: 3, 4: 1}",0
127,False,"{'a': 0.2, 'e': 0.8806777104745708}",30,11,-0.7115101437410907,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.2, 'e': 0.8797970327640962}",30,11,-147.50605553968686,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 3}",1
129,False,"{'a': 0.2, 'e': 0.8789172357313321}",25,0,-199.95963474904042,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
130,False,"{'a': 0.2, 'e': 0.8780383184956008}",25,0,-182.68930375570633,"{0: 15, 1: 1, 2: 4, 3: 2, 4: 3}",0
131,False,"{'a': 0.2, 'e': 0.8771602801771051}",25,0,-47.90358329314763,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
132,False,"{'a': 0.2, 'e': 0.876283119896928}",20,0,-91.99235652503248,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
133,False,"{'a': 0.2, 'e': 0.8754068367770311}",25,0,-126.87172069343163,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
134,False,"{'a': 0.2, 'e': 0.8745314299402541}",25,0,-99.03035586641256,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
135,False,"{'a': 0.2, 'e': 0.8736568985103138}",20,0,-115.68100668101721,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
136,False,"{'a': 0.2, 'e': 0.8727832416118035}",20,0,-137.4811166107149,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
137,False,"{'a': 0.2, 'e': 0.8719104583701917}",20,0,-99.65485958918187,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
138,False,"{'a': 0.2, 'e': 0.8710385479118216}",20,0,-150.9160590443439,"{0: 7, 1: 3, 2: 8, 3: 1, 4: 1}",0
139,False,"{'a': 0.2, 'e': 0.8701675093639096}",25,0,-104.37309831205891,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
140,False,"{'a': 0.2, 'e': 0.8692973418545458}",20,0,-80.14404795542902,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
141,False,"{'a': 0.2, 'e': 0.8684280445126912}",25,0,-62.77568605724526,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
142,False,"{'a': 0.2, 'e': 0.8675596164681786}",25,12,-9.638448553222624,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
143,False,"{'a': 0.2, 'e': 0.8666920568517104}",20,0,-38.60985487219838,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
144,False,"{'a': 0.2, 'e': 0.8658253647948586}",25,0,-127.53463146440558,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
145,False,"{'a': 0.2, 'e': 0.8649595394300638}",25,0,-143.7873010604712,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
146,False,"{'a': 0.2, 'e': 0.8640945798906338}",35,19,-31.325626101425975,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
147,False,"{'a': 0.2, 'e': 0.8632304853107431}",20,0,-139.79247215450232,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
148,False,"{'a': 0.2, 'e': 0.8623672548254323}",20,0,-88.8578041094027,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
149,False,"{'a': 0.2, 'e': 0.861504887570607}",25,0,-179.22417584404963,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
150,False,"{'a': 0.2, 'e': 0.8606433826830363}",20,0,-123.70663496583356,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
151,False,"{'a': 0.2, 'e': 0.8597827393003532}",30,0,-116.72393861738844,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",1
152,False,"{'a': 0.2, 'e': 0.8589229565610529}",25,0,-59.03225188601477,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
153,False,"{'a': 0.2, 'e': 0.8580640336044919}",30,0,-121.00550803697902,"{0: 21, 1: 1, 2: 4, 3: 3, 4: 1}",0
154,False,"{'a': 0.2, 'e': 0.8572059695708873}",25,13,0.8634105028481174,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.2, 'e': 0.8563487636013165}",20,0,-176.54933484793003,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 3}",0
156,False,"{'a': 0.2, 'e': 0.8554924148377152}",25,0,-75.24913852419306,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
157,False,"{'a': 0.2, 'e': 0.8546369224228775}",25,0,-52.51926381713275,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
158,False,"{'a': 0.2, 'e': 0.8537822855004545}",25,0,-148.54957354562637,"{0: 12, 1: 4, 2: 6, 3: 2, 4: 1}",0
159,False,"{'a': 0.2, 'e': 0.8529285032149541}",20,0,-40.83402525995925,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
160,False,"{'a': 0.2, 'e': 0.8520755747117391}",20,0,-157.90889668599908,"{0: 8, 1: 3, 2: 7, 3: 0, 4: 2}",0
161,False,"{'a': 0.2, 'e': 0.8512234991370274}",25,0,-163.27367588725158,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
162,False,"{'a': 0.2, 'e': 0.8503722756378904}",20,9,-59.349934588987345,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 1}",1
163,False,"{'a': 0.2, 'e': 0.8495219033622525}",30,0,-151.80765384848576,"{0: 20, 1: 3, 2: 4, 3: 0, 4: 3}",0
164,False,"{'a': 0.2, 'e': 0.8486723814588902}",30,10,-75.6596920575851,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",1
165,False,"{'a': 0.2, 'e': 0.8478237090774313}",20,0,-133.7584062022516,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
166,False,"{'a': 0.2, 'e': 0.8469758853683539}",30,0,-202.61587757277817,"{0: 19, 1: 3, 2: 3, 3: 1, 4: 4}",0
167,False,"{'a': 0.2, 'e': 0.8461289094829856}",25,0,-104.67023065106221,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
168,False,"{'a': 0.2, 'e': 0.8452827805735026}",25,15,-39.25828532586897,"{0: 6, 1: 1, 2: 2, 3: 1, 4: 0}",1
169,False,"{'a': 0.2, 'e': 0.8444374977929291}",20,0,-95.83358378623285,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
170,False,"{'a': 0.2, 'e': 0.8435930602951361}",25,0,-72.79557336962289,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
171,False,"{'a': 0.2, 'e': 0.842749467234841}",25,0,-29.856412535198004,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
172,False,"{'a': 0.2, 'e': 0.8419067177676062}",25,0,-42.796785990773884,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
173,False,"{'a': 0.2, 'e': 0.8410648110498385}",20,0,-69.73990930590735,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
174,False,"{'a': 0.2, 'e': 0.8402237462387887}",35,0,-230.00473222765856,"{0: 21, 1: 2, 2: 8, 3: 0, 4: 4}",0
175,False,"{'a': 0.2, 'e': 0.83938352249255}",30,0,-167.9583962803881,"{0: 17, 1: 1, 2: 10, 3: 0, 4: 2}",0
176,False,"{'a': 0.2, 'e': 0.8385441389700574}",20,0,-156.56316077254684,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
177,False,"{'a': 0.2, 'e': 0.8377055948310873}",20,0,-22.81738157789519,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
178,False,"{'a': 0.2, 'e': 0.8368678892362562}",20,1,-128.65234129363293,"{0: 9, 1: 4, 2: 4, 3: 0, 4: 2}",1
179,False,"{'a': 0.2, 'e': 0.83603102134702}",25,0,-182.47069347021568,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
180,False,"{'a': 0.2, 'e': 0.8351949903256729}",25,0,-119.0481341911507,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
181,False,"{'a': 0.2, 'e': 0.8343597953353473}",25,0,-72.51274143265222,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
182,False,"{'a': 0.2, 'e': 0.8335254355400119}",20,0,-22.677019049049274,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
183,False,"{'a': 0.2, 'e': 0.832691910104472}",30,0,-96.02027841316107,"{0: 22, 1: 4, 2: 2, 3: 0, 4: 2}",0
