trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
137,False,"{'a': 0.05, 'e': 0.2523606630893462}",20,0,-15.174646937649234,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
138,False,"{'a': 0.05, 'e': 0.2498370564584527}",30,14,-13.866317421730919,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
139,False,"{'a': 0.05, 'e': 0.24733868589386818}",30,13,12.600333679360865,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.05, 'e': 0.24486529903492948}",35,19,12.189551251072054,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.05, 'e': 0.2424166460445802}",30,16,8.597194450378753,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.05, 'e': 0.2399924795841344}",20,0,29.061608253112123,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
143,False,"{'a': 0.05, 'e': 0.23759255478829303}",25,0,-9.685545324216262,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
144,False,"{'a': 0.05, 'e': 0.23521662924041012}",30,10,-62.39805608027945,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",1
145,False,"{'a': 0.05, 'e': 0.232864462948006}",25,10,16.584650066355547,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.05, 'e': 0.23053581831852593}",20,0,-35.02422845465672,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
147,False,"{'a': 0.05, 'e': 0.22823046013534068}",20,0,2.1151255156867603,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
148,False,"{'a': 0.05, 'e': 0.22594815553398728}",20,6,-15.211812613973747,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
149,False,"{'a': 0.05, 'e': 0.2236886739786474}",20,10,-22.916905525875894,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
150,False,"{'a': 0.05, 'e': 0.22145178723886091}",20,0,-93.7186988061844,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
151,False,"{'a': 0.05, 'e': 0.2192372693664723}",25,13,18.81832816224718,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.05, 'e': 0.21704489667280757}",20,8,10.537955247834544,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.05, 'e': 0.2148744477060795}",25,15,-46.55183882685729,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
154,False,"{'a': 0.05, 'e': 0.2127257032290187}",20,11,5.511098536909357,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.05, 'e': 0.21059844619672852}",20,0,-2.828898430602021,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
156,False,"{'a': 0.05, 'e': 0.20849246173476124}",30,14,-15.581707806600516,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 0}",1
157,False,"{'a': 0.05, 'e': 0.2064075371174136}",30,7,-40.32699887211328,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 1}",1
158,False,"{'a': 0.05, 'e': 0.20434346174623946}",30,0,-42.87717883901825,"{0: 26, 1: 1, 2: 1, 3: 1, 4: 1}",0
159,False,"{'a': 0.05, 'e': 0.2023000271287771}",25,16,-67.68319198948907,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 2}",1
160,False,"{'a': 0.05, 'e': 0.20027702685748933}",25,0,29.414673852965812,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
161,False,"{'a': 0.05, 'e': 0.19827425658891443}",20,8,-3.350707814079787,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
162,False,"{'a': 0.05, 'e': 0.19629151402302528}",20,2,-39.45140500693211,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
163,False,"{'a': 0.05, 'e': 0.19432859888279502}",20,0,-14.785403512663132,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
164,False,"{'a': 0.05, 'e': 0.19238531289396707}",30,8,-17.85209164477854,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
165,False,"{'a': 0.05, 'e': 0.1904614597650274}",25,15,13.934223142482509,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.05, 'e': 0.1885568451673771}",25,0,19.753617877043485,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
167,False,"{'a': 0.05, 'e': 0.18667127671570335}",35,22,-16.450495366535545,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
168,False,"{'a': 0.05, 'e': 0.1848045639485463}",20,13,-16.530094179147593,"{0: 5, 1: 1, 2: 0, 3: 1, 4: 0}",1
169,False,"{'a': 0.05, 'e': 0.18295651830906084}",25,11,3.659703352058562,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
